,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
405,093050,2012,0,0,0,0,0,0,1,0,0,1
406,093050,2013,1,1,0,1,0,1,1,0,0,5
407,093050,2014,1,1,1,1,0,1,1,1,0,7
408,093050,2015,1,1,0,1,1,1,1,0,0,6
409,093050,2016,1,1,1,1,1,1,1,0,0,7
410,018670,2012,0,0,0,0,0,0,1,0,0,1
411,018670,2013,1,1,0,1,0,1,1,0,0,5
412,018670,2014,1,1,1,1,0,1,0,1,0,6
413,018670,2015,1,1,0,1,0,1,0,1,0,5
414,018670,2016,1,1,1,1,1,1,0,1,1,8
415,009410,2012,0,0,0,0,0,0,1,0,0,1
416,009410,2013,1,1,0,1,0,1,1,0,0,5
417,009410,2014,1,1,0,1,0,1,1,0,0,5
418,009410,2015,1,1,1,1,1,1,1,1,1,9
419,009410,2016,1,1,1,1,0,1,1,1,1,8
420,073240,2012,0,0,0,0,0,0,1,0,0,1
421,073240,2013,1,1,0,1,0,1,1,0,0,5
422,073240,2014,1,1,1,1,0,1,0,1,0,6
423,073240,2015,1,1,0,1,1,1,1,0,0,6
424,073240,2016,1,1,0,1,1,1,1,0,0,6
425,001680,2012,0,0,0,0,0,0,1,0,0,1
426,001680,2013,1,1,0,1,0,1,1,0,0,5
427,001680,2014,1,1,0,1,0,1,1,0,0,5
428,001680,2015,1,1,0,1,1,1,1,0,0,6
429,001680,2016,1,1,0,1,0,1,1,0,0,5
430,000640,2012,0,0,0,0,0,0,1,0,0,1
431,000640,2013,1,1,0,1,0,1,1,0,0,5
432,000640,2014,1,1,1,1,0,1,0,0,1,6
433,000640,2015,1,1,1,1,1,1,1,1,1,9
434,000640,2016,1,1,1,1,1,1,0,1,0,7
435,005850,2012,0,0,0,0,0,0,1,0,0,1
436,005850,2013,1,1,0,1,0,1,1,0,0,5
437,005850,2014,1,1,1,1,0,1,1,1,1,8
438,005850,2015,1,1,0,1,0,1,1,1,0,6
439,005850,2016,1,1,1,1,0,1,1,1,1,8
440,071320,2012,0,0,0,0,0,0,1,0,0,1
441,071320,2013,1,1,0,1,0,1,1,0,0,5
442,071320,2014,1,1,0,1,0,1,1,0,0,5
443,071320,2015,1,1,1,1,1,1,1,1,0,8
444,071320,2016,1,1,0,1,0,1,1,0,0,5
445,108670,2012,0,0,0,0,0,0,1,0,0,1
446,108670,2013,1,1,0,1,0,1,1,0,0,5
447,108670,2014,1,1,1,1,0,1,1,1,0,7
448,108670,2015,1,1,0,1,0,1,1,1,0,6
449,108670,2016,1,1,0,1,1,1,1,0,0,6
450,003620,2012,0,0,0,0,0,0,1,0,0,1
451,003620,2013,0,1,0,1,0,1,1,0,0,4
452,003620,2014,0,1,0,1,0,1,1,0,0,4
453,003620,2015,0,1,1,1,0,1,1,1,1,7
454,003620,2016,1,1,1,1,1,1,1,1,1,9
455,020000,2012,0,0,0,0,0,0,1,0,0,1
456,020000,2013,1,1,0,1,0,1,1,0,0,5
457,020000,2014,1,1,0,1,0,1,1,1,0,6
458,020000,2015,1,1,1,1,1,1,1,0,1,8
459,020000,2016,1,1,1,1,1,1,1,0,1,8
460,009970,2012,0,0,0,0,0,0,1,0,0,1
461,009970,2013,1,1,0,1,0,1,1,0,0,5
462,009970,2014,1,1,0,1,0,1,1,0,0,5
463,009970,2015,1,1,0,1,0,1,1,0,1,6
464,009970,2016,1,1,0,1,1,1,1,0,0,6
465,005880,2012,0,0,0,0,0,0,1,0,0,1
466,005880,2013,1,1,0,1,0,1,1,0,0,5
467,005880,2014,1,1,1,1,0,1,0,0,1,6
468,005880,2015,1,1,0,1,0,1,0,1,0,5
469,005880,2016,1,1,0,1,0,1,1,0,0,5
470,002020,2012,0,0,0,0,0,0,1,0,0,1
471,002020,2013,1,1,0,1,0,1,1,0,0,5
472,002020,2014,1,1,1,1,0,1,1,1,0,7
473,002020,2015,1,1,0,1,0,1,1,0,1,6
474,002020,2016,1,1,1,1,1,1,1,1,1,9
475,037560,2012,0,0,0,0,0,0,1,0,0,1
476,037560,2013,1,1,0,1,0,1,1,0,0,5
477,037560,2014,1,1,0,1,0,1,1,0,0,5
478,037560,2015,1,1,0,1,1,1,1,0,0,6
479,037560,2016,1,1,0,1,1,1,1,0,1,7
480,064960,2012,0,0,0,0,0,0,1,0,0,1
481,064960,2013,1,1,0,1,0,1,1,0,0,5
482,064960,2014,1,1,0,1,0,1,1,1,0,6
