,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
2024,010100,2016,1,1,0,1,0,1,1,0,0,5
2029,007120,2016,0,1,0,1,1,1,0,0,1,5
2034,013360,2016,1,1,1,1,1,1,1,0,1,8
2039,072130,2016,0,1,0,1,1,1,1,0,0,5
2044,000520,2016,1,1,1,1,0,1,1,1,1,8
2049,021050,2016,1,1,1,1,0,1,0,1,1,7
2054,001560,2016,1,1,1,1,0,1,1,1,0,7
2059,001210,2016,1,1,1,1,1,1,1,1,1,9
2064,026940,2016,1,1,0,1,1,1,1,1,0,7
2069,006890,2016,1,1,0,1,1,1,1,1,0,7
2074,002220,2016,1,1,1,1,1,1,1,1,1,9
2079,000760,2016,1,1,0,1,1,1,1,1,0,7
2084,024900,2016,1,1,0,1,1,1,1,1,0,7
2089,005820,2016,1,1,1,1,0,1,1,1,1,8
2094,002690,2016,1,1,0,1,1,1,1,0,0,6
2099,004140,2016,1,1,0,1,0,1,0,1,0,5
2104,010660,2016,0,1,0,1,1,1,1,0,0,5
2109,214330,2016,1,1,0,1,0,1,1,0,0,5
2114,002070,2016,0,1,1,1,0,1,1,1,1,7
2119,023810,2016,1,1,1,1,0,1,1,1,0,7
2124,013700,2016,1,1,1,1,1,1,1,0,1,8
2129,002710,2016,1,1,1,1,1,1,1,1,1,9
2134,023150,2016,1,1,1,1,0,1,1,1,1,8
2139,002410,2016,1,1,1,1,0,1,1,0,0,6
2144,003010,2016,1,1,1,1,0,1,1,0,1,7
2149,005320,2016,1,1,1,1,0,1,0,1,1,7
2154,071090,2016,1,1,1,1,0,1,1,1,1,8
2159,007280,2016,0,1,1,1,0,1,0,1,1,6
2164,031820,2016,1,1,1,1,0,1,1,1,1,8
2169,013000,2016,1,1,0,1,0,1,1,0,1,6
2174,008110,2016,1,1,1,1,1,1,1,1,1,9
2179,009810,2016,0,1,0,1,1,1,0,0,0,4
2184,155900,2016,1,1,1,1,1,1,1,0,1,8
2189,145270,2016,1,1,0,1,1,1,0,0,0,5
